query_id,expert_id,is_hallucination,hallucination_type,clinical_risk,confidence,notes
Q001,E1,false,none,low,0.95,Accurate oxygen transport description
Q001,E2,false,none,low,0.98,Correct protein function
Q001,E3,false,none,low,0.97,Standard textbook answer
Q002,E1,false,none,low,0.96,Accurate insulin function
Q002,E2,false,none,low,0.99,Correct glucose metabolism role
Q002,E3,false,none,low,0.95,Well-described mechanism
Q003,E1,false,none,low,0.93,Comprehensive p53 functions listed
Q003,E2,false,none,low,0.94,Accurate tumor suppressor role
Q003,E3,false,none,low,0.96,Multiple functions correctly identified
Q004,E1,true,factual_error,moderate,0.78,Incorrect peptide assignment
Q004,E2,true,confabulation,moderate,0.82,Mass does not match claimed peptide
Q004,E3,true,factual_error,moderate,0.75,Wrong albumin peptide
Q005,E1,false,none,low,0.99,Correct PTM interpretation
Q005,E2,false,none,low,0.98,Standard oxidation identification
Q005,E3,false,none,low,0.97,Accurate mass shift explanation
Q006,E1,false,none,low,0.98,Correct clinical significance
Q006,E2,false,none,low,0.97,Accurate cardiac marker description
Q006,E3,false,none,low,0.99,Standard clinical interpretation
Q007,E1,false,none,low,0.94,Accurate PSA clinical use
Q007,E2,false,none,low,0.96,Correct screening application
Q007,E3,false,none,low,0.93,Valid biomarker description
Q008,E1,false,none,low,0.97,Correct phosphorylation role
Q008,E2,false,none,low,0.98,Accurate signal transduction mechanism
Q008,E3,false,none,low,0.96,Well-explained molecular switch concept
Q009,E1,false,none,low,0.95,Accurate histone acetylation effects
Q009,E2,false,none,low,0.94,Correct epigenetic regulation
Q009,E3,false,none,low,0.96,Proper chromatin modification description
Q010,E1,false,none,low,0.97,Accurate CFTR mutations
Q010,E2,false,none,low,0.98,Correct F508del description
Q010,E3,false,none,low,0.96,Valid CF molecular basis
Q011,E1,false,none,low,0.99,Correct albumin functions
Q011,E2,false,none,low,0.98,Accurate plasma protein role
Q011,E3,false,none,low,0.97,Standard albumin description
Q012,E1,false,none,low,0.96,Accurate amylase function
Q012,E2,false,none,low,0.97,Correct digestive enzyme role
Q012,E3,false,none,low,0.95,Valid starch breakdown mechanism
Q013,E1,false,none,low,0.99,Correct mass calculation
Q013,E2,false,none,low,0.98,Accurate charge state interpretation
Q013,E3,false,none,low,0.99,Proper molecular weight determination
Q014,E1,false,none,low,0.97,Correct limitation acknowledged
Q014,E2,false,none,low,0.96,Accurate isomer distinction challenge
Q014,E3,false,none,low,0.98,Proper MS limitation described
Q015,E1,false,none,low,0.92,Comprehensive AKI biomarkers
Q015,E2,false,none,low,0.94,Multiple relevant markers listed
Q015,E3,false,none,low,0.93,Accurate clinical biomarkers
Q016,E1,false,none,low,0.95,Accurate CRISPR mechanism
Q016,E2,false,none,low,0.96,Correct Cas9 function
Q016,E3,false,none,low,0.94,Valid genome editing description
Q017,E1,false,none,low,0.97,Accurate ubiquitination role
Q017,E2,false,none,low,0.98,Correct protein degradation signal
Q017,E3,false,none,low,0.96,Proper PTM function described
Q018,E1,false,none,low,0.98,Correct Alzheimer pathology
Q018,E2,false,none,low,0.97,Accurate protein aggregates identified
Q018,E3,false,none,low,0.99,Standard AD molecular basis
Q019,E1,false,none,low,0.91,Accurate proteasome recognition
